SOURCE,EXTERNAL_ID,PMCID,DOI,AUTHORS,PUBLICATION_YEAR,PUBLICATION_MONTH,TITLE,JOURNAL,VOLUME,ISSUE,PAGE_INFO,PUBLISHER,TIMES_CITED,GRANTS,OPEN_ACCESS,LICENSE,FIRST_PUB_DATE (dd/mm/yyyy),EMBARGO_DATE (dd/mm/yyyy),IN_EPMC,EPMC_AUTH_MAN,FILE
MED,30380928,,10.1080/08037051.2018.1527177,"Williams, Bryan; Mancia, Giuseppe; Spiering, Wilko; Agabiti Rosei, Enrico; Azizi, Michel; Burnier, Michel; Clement, Denis; Coca, Antonio; De Simone, Giovanni; Dominiczak, Anna; Kahan, Thomas; Mahfoud, Felix; Redon, Josep; Ruilope, Luis; Zanchetti, Alberto; Kerins, Mary; Kjeldsen, Sverre; Kreutz, Reinhold; Laurent, Stéphane; Lip, Gregory Y H; McManus, Richard; Narkiewicz, Krzysztof; Ruschitzka, Frank; Schmieder, Roland; Shlyakhto, Evgeny; Tsioufis, Konstantinos; Aboyans, Victor; Desormais, Ileana",2018,12,2018 Practice Guidelines for the management of arterial hypertension of the European Society of Cardiology and the European Society of Hypertension.,Blood pressure,27,6,314-340,,123,"""Medical Research Council"":""MC_PC_13090"",""National Institute for Health Research (NIHR)"":""NF-SI-0514-10011"",""National Institute for Health Research (NIHR)"":""NIHR-RP-02-12-015"",""National Institute for Health Research (NIHR)"":""NF-SI-0509-10222""",N,,2018-12-01,,N,N,173246.pdf
MED,28762923,,,"Lyamin, NP; Nalivayeva, AV; Mordwintseva, A Yu",2017,5,[Candesartan is the Basis of Therapy for Arterial Hypertension in Middle-Aged Women].,Kardiologiia,57,5,62-67,,0,,N,,2017-05-01,,N,N,
MED,26910607,,10.2459/jcm.0000000000000315,"Cadeddu, Christian; Franconi, Flavia; Cassisa, Laura; Campesi, Ilaria; Pepe, Alessia; Cugusi, Lucia; Maffei, Silvia; Gallina, Sabina; Sciomer, Susanna; Mercuro, Giuseppe; Working Group of Gender Medicine of Italian Society of Cardiology",2016,4,Arterial hypertension in the female world: pathophysiology and therapy.,"Journal of cardiovascular medicine (Hagerstown, Md.)",17,4,229-236,,23,,N,,2016-04-01,,N,N,JCM-D-15-00069_campesi.pdf
MED,24088006,,,"Podzolkov, VI; Bragina, AE",2013,,[Combination therapy of arterial hypertension: focus on the treatment of women].,Kardiologiia,53,8,77-86,,0,,N,,2013-01-01,,N,N,
MED,17216236,,10.1007/s00108-006-1772-y,"Mitchell, A; Philipp, T",2007,2,[Female patients with arterial hypertension].,Der Internist,48,2,202-207,,0,,N,,2007-02-01,,N,N,
MED,12362678,,,"Przewłocka-Kosmala, Monika",2002,6,[Arterial hypertension in perimenopausal women].,Polski merkuriusz lekarski : organ Polskiego Towarzystwa Lekarskiego,12,72,535-538,,0,,N,,2002-06-01,,N,N,
MED,12469635,,,"Shishkin, AN; Volovnikova, VA",2002,,[Arterial hypertension and metabolic disorders in the postmenopausal period].,Terapevticheskii arkhiv,74,10,59-62,,0,,N,,2002-01-01,,N,N,
MED,31076937,,10.1007/s10741-019-09803-3,"Tadic, Marijana; Cuspidi, Cesare; Grassi, Guido",2019,11,The influence of sex on left ventricular remodeling in arterial hypertension.,Heart failure reviews,24,6,905-914,,10,,N,,2019-11-01,,N,N,
MED,9883068,,,"Velasco Rami, JA",1998,,[Evolution and prognosis of arterial hypertension in women].,Revista espanola de cardiologia,51 Suppl 4,,44-49,,0,,N,,1998-01-01,,N,N,
MED,40026503,PMC11868917,10.31083/rcm26430,"Guers, John J; Heffernan, Kevin S; Campbell, Sara C",2025,2,"Getting to the Heart of the Matter: Exploring the Intersection of Cardiovascular Disease, Sex and Race and How Exercise, and Gut Microbiota Influence these Relationships.",Reviews in cardiovascular medicine,26,2,26430,,0,,Y,cc by,2025-02-20,,Y,N,2153-8174-26-2-26430.pdf
MED,39858537,PMC11763887,10.3390/biom15010143,"Zhang, Hannah; Singal, Pawan K; Ravandi, Amir; Rabinovich-Nikitin, Inna",2025,1,Sex-Specific Differences in the Pathophysiology of Hypertension.,Biomolecules,15,1,143,,0,,Y,cc by,2025-01-18,,Y,N,biomolecules-15-00143.pdf
MED,39754010,PMC11872871,10.1007/s11357-024-01489-2,"Ungvari, Anna; Gulej, Rafal; Patai, Roland; Papp, Zoltan; Toth, Attila; Szabó, Attila Á; Podesser, Bruno K; Sótonyi, Péter; Benyó, Zoltán; Yabluchanskiy, Andriy; Tarantini, Stefano; Maier, Andrea B; Csiszar, Anna; Ungvari, Zoltan",2025,2,Sex-specific mechanisms in vascular aging: exploring cellular and molecular pathways in the pathogenesis of age-related cardiovascular and cerebrovascular diseases.,GeroScience,47,1,301-337,,0,"""NIA NIH HHS"":""R01 AG072295"",""NCI NIH HHS"":""R01CA255840"",""NCI NIH HHS"":""R01 CA255840"",""NIA NIH HHS"":""R01AG068295"",""NIA NIH HHS"":""R01AG072295"",""NIA NIH HHS"":""R01AG055395""",N,,2025-01-03,,Y,N,11357_2024_Article_1489.pdf
,,,10.1161/HYPERTENSIONAHA.116.06602,,,,,,,,,,,,,,,,,,gillis-sullivan-2016-sex-differences-in-hypertension.pdf
,,,10.1016/S1131-3587(08)73562-3,,,,,,,,,,,,,,,,,,S1131358708735623.pdf
,,,10.35366/115054,,,,,,,,,,,,,,,,,,cmss241e.pdf
,,,10.1007/s11906-022-01183-8,,,,,,,,,,,,,,,,,,11906_2022_Article_1183.pdf
,,,10.1038/s41371-022-00793-8,,,,Sex and gender in hypertension guidelines,,,,,,,,,,,,,,s41371-022-00793-8.pdf
,,,10.1161/HYPERTENSIONAHA.122.19105,,,,,,,,,,,,,,,,,,Differential Sex-Specific Effects of Angiotensin-Converting Enzyme Inhibition and Angiotensin Receptor Blocker Therapy on Arterial Function in Hypertension_ CALIBREX Trial.pdf
